polarity, tweet, reaction
-0.6, RT @K0YCHEV: Machine Learning vs. Artificial Intelligence: Unpacking Their Histories https://t.co/FKk8mGBKgbâ€¦ https://t.co/7Xj3tcwpus, negative
0.0, @VMware Sinon on peut surtout appeler Ã§a traitement fe donnÃ©es big data avec des algorithmes de machine learning. Mâ€¦ https://t.co/pJaWJVNfOc, neutral
0.0, Using Amazon Sagemaker for Scalable Machine Learning Training â€¢ Filestack Blog  https://t.co/pXvpCqh5mg https://t.co/24s33k1cTP, neutral
0.0, RT @MATLAB: Download this ebook to explore a step-by-step machine learning tutorial with MATLAB  https://t.co/FKp08gAEnd, neutral
-0.07142857142857142, RT @Signals_Network: On a single platform, Signals will connect cryptocurrency traders with data science developers. Traders will identifyâ€¦, negative
-0.26875, #Cloudfish platform integrates with major #cloud service providers and it uses #artificial #intelligence and machinâ€¦ https://t.co/UBCg9NHuC6, negative
0.0, Big #Data and machine learning in #healthcare.  @JAMA_current  https://t.co/8F19q8QKFT, neutral
0.7, RT @DataScienceNIG: Data Science Nigeria celebrates our own Zainab Ishaq Musa of ABU Zaria for leading her team to win the 2018 Hult Prizeâ€¦, positive
0.0, RT @BigDataBatman: Software quality assurance engineer Batman analytics Catwoman 2 of 2 Jobs in Milpitas, CA https://t.co/9rll09xZKz, neutral
0.0, Software quality assurance engineer Batman analytics Catwoman 2 of 2 Jobs in Milpitas, CA https://t.co/9rll09xZKz, neutral
0.0, Apple hires Googleâ€™s former AI boss to help improve Siri #remotework #marketing via https://t.co/L1GaIg35Zm â˜›â€¦ https://t.co/hlJjkmxML9, neutral
-0.0875, Must watch. 3 myths about the future of work (and why they're not true).  Daniel explains how machine learning andâ€¦ https://t.co/qjujC59mwJ, negative
-0.5999999999999999, RT @MartaRodriguezA: If Your Data Is Bad, Your Machine Learning Tools Are Useless https://t.co/t64L6S0AtA, negative
0.4, RT @ipfconline1: Great Read ðŸ‘‡ 2018: The 'Year of #AI and #MachineLearning' for Financial Marketers  https://t.co/XhCQMKHAww [by @JimMarousâ€¦, positive
0.0, RT @mattreaney_: Data Science, Machine Learning, and AI Conferences and Events 2018 @BigCloudTeam https://t.co/RHduxYlDXj #DataScience #Macâ€¦, neutral
